c0,c1,c2,c3,c4,c5,c6,c7,c8
A,F,33603.0,10685.0,16021903.52,15220427.4861,15803490.399501,19.98,401
A,F,1136174.0,5269.0,7810980.8,7430364.6302,7719432.142774,9.9,203
A,F,1136175.0,7155.0,10806586.7,10252616.293,10672469.961164,14.52,280
A,F,1355694.0,5796.0,8780267.17,8341376.8054,8687923.791659,12.53,237
A,F,2576124.0,4512.0,6774740.61,6456302.6206,6710918.356937,8.91,182
A,F,125398.0,9871.0,14564926.75,13854823.332,14382913.818411,18.54,372
A,F,141336.0,9567.0,14356094.62,13636150.9333,14200301.355143,19.41,379
A,F,1315924.0,5638.0,8497669.65,8045156.428,8363766.731854,11.73,222
A,F,1368414.0,11669.0,17304636.45,16440773.1517,17079514.532635,23.07,466
A,F,1684540.0,9048.0,13773646.03,13103915.6615,13624594.950905,17.03,349
A,F,1687830.0,1989.0,3031561.52,2868707.6183,2982820.060249,4.69,84
A,F,1743216.0,7722.0,11632192.52,11047729.1799,11485543.576092,15.12,299
A,F,2529801.0,11894.0,17784703.9,16865126.3311,17548665.721467,24.17,472
A,F,2814280.0,12113.0,18168862.32,17283216.814,17988402.372358,22.98,466
A,F,2814281.0,1267.0,1959573.55,1869431.9655,1944088.247483,2.38,50
A,F,151628.0,1572.0,2358298.8,2233498.1796,2308272.431795,2.97,56
A,F,174283.0,10576.0,15871938.77,15112854.9395,15716740.616656,19.53,406
A,F,186023.0,2815.0,4036099.4,3857829.3936,4015524.754555,4.64,99
A,F,562857.0,10549.0,16099175.85,15265616.4741,15837514.624725,21.02,416
A,F,1306239.0,784.0,1175535.62,1118465.6656,1173957.768083,1.32,28
A,F,1607384.0,5260.0,7995994.22,7599402.9769,7899689.242676,10.49,210
A,F,1640028.0,1709.0,2612031.22,2478124.7431,2573427.768692,3.62,70
A,F,1704687.0,5904.0,8961712.97,8513476.2405,8872206.255613,11.71,239
A,F,2109386.0,12346.0,18453033.74,17517670.9421,18189204.600941,24.76,491
A,F,2283559.0,4931.0,7477791.58,7103626.6702,7391767.110986,10.24,200
