p1,p2,p3,p4
0.20,100.00,100.00,100.00
100.00,0.20,100.00,100.00
100.00,100.00,0.30,100.00
100.00,100.00,100.00,2.00
0.20,90.00,100.00,100.00
0.30,60.00,100.00,100.00
0.40,50.00,100.00,100.00
0.50,40.00,100.00,100.00
0.60,30.00,100.00,100.00
0.90,20.00,100.00,100.00
2.00,9.00,100.00,100.00
3.00,6.00,100.00,100.00
4.00,5.00,100.00,100.00
5.00,4.00,100.00,100.00
6.00,3.00,100.00,100.00
9.00,2.00,100.00,100.00
20.00,0.90,100.00,100.00
30.00,0.60,100.00,100.00
40.00,0.50,100.00,100.00
50.00,0.40,100.00,100.00
60.00,0.30,100.00,100.00
90.00,0.20,100.00,100.00
0.20,100.00,90.00,100.00
0.30,100.00,60.00,100.00
0.40,100.00,40.00,100.00
0.60,100.00,30.00,100.00
0.80,100.00,20.00,100.00
2.00,100.00,9.00,100.00
3.00,100.00,6.00,100.00
4.00,100.00,5.00,100.00
5.00,100.00,4.00,100.00
6.00,100.00,3.00,100.00
9.00,100.00,2.00,100.00
10.00,100.00,2.00,100.00
20.00,100.00,0.90,100.00
30.00,100.00,0.70,100.00
40.00,100.00,0.50,100.00
50.00,100.00,0.40,100.00
80.00,100.00,0.30,100.00
0.20,100.00,100.00,80.00
0.30,100.00,100.00,60.00
0.40,100.00,100.00,40.00
0.60,100.00,100.00,30.00
0.80,100.00,100.00,20.00
2.00,100.00,100.00,9.00
3.00,100.00,100.00,6.00
4.00,100.00,100.00,5.00
5.00,100.00,100.00,4.00
8.00,100.00,100.00,3.00
20.00,100.00,100.00,2.00
