p1,p2,p3,p4,p5
5.00,100.00,100.00,100.00,100.00
100.00,5.00,100.00,100.00,100.00
100.00,100.00,7.00,100.00,100.00
100.00,100.00,100.00,5.00,100.00
100.00,100.00,100.00,100.00,8.00
5.00,90.00,100.00,100.00,100.00
6.00,70.00,100.00,100.00,100.00
7.00,60.00,100.00,100.00,100.00
9.00,50.00,100.00,100.00,100.00
20.00,30.00,100.00,100.00,100.00
30.00,20.00,100.00,100.00,100.00
50.00,9.00,100.00,100.00,100.00
60.00,7.00,100.00,100.00,100.00
70.00,6.00,100.00,100.00,100.00
90.00,5.00,100.00,100.00,100.00
5.00,100.00,90.00,100.00,100.00
6.00,100.00,80.00,100.00,100.00
7.00,100.00,70.00,100.00,100.00
8.00,100.00,60.00,100.00,100.00
9.00,100.00,50.00,100.00,100.00
20.00,100.00,30.00,100.00,100.00
30.00,100.00,20.00,100.00,100.00
60.00,100.00,9.00,100.00,100.00
70.00,100.00,8.00,100.00,100.00
90.00,100.00,7.00,100.00,100.00
5.00,100.00,100.00,90.00,100.00
6.00,100.00,100.00,70.00,100.00
7.00,100.00,100.00,60.00,100.00
8.00,100.00,100.00,60.00,100.00
9.00,100.00,100.00,50.00,100.00
20.00,100.00,100.00,30.00,100.00
30.00,100.00,100.00,20.00,100.00
50.00,100.00,100.00,9.00,100.00
60.00,100.00,100.00,8.00,100.00
70.00,100.00,100.00,7.00,100.00
80.00,100.00,100.00,6.00,100.00
90.00,100.00,100.00,5.00,100.00
5.00,100.00,100.00,100.00,90.00
6.00,100.00,100.00,100.00,80.00
7.00,100.00,100.00,100.00,70.00
8.00,100.00,100.00,100.00,60.00
9.00,100.00,100.00,100.00,50.00
20.00,100.00,100.00,100.00,30.00
30.00,100.00,100.00,100.00,20.00
60.00,100.00,100.00,100.00,10.00
70.00,100.00,100.00,100.00,9.00
90.00,100.00,100.00,100.00,8.00
